event_id,timestamp_min,robot_id,state,duration_min,task_type,order_id,battery_pct_start,battery_pct_end,fault_code
E000090,73,R05,CHARGE,20,CHARGE,,16,100,
E000091,75,R02,WORK,8,PICK,ORD0245,53,37,
E000092,75,R04,WORK,7,PICK,ORD0469,100,88,
E000093,75,R06,IDLE,5,IDLE,,95,93,
E000094,76,R09,FAULT,11,,,20,19,MECH_FAILURE
E000095,78,R03,WORK,12,PICK,ORD0577,73,55,
E000096,79,R10,CHARGE,7,CHARGE,,10,54,
E000097,80,R06,IDLE,12,IDLE,,93,89,
E000098,80,R08,WORK,8,PICK,ORD0071,63,53,
E000099,81,R07,WORK,5,PICK,ORD0449,65,59,
E000100,82,R04,IDLE,13,IDLE,,88,81,
E000101,83,R01,IDLE,16,IDLE,,100,92,
E000102,83,R02,IDLE,4,IDLE,,37,35,
E000103,86,R07,IDLE,12,IDLE,,59,56,
E000104,86,R10,WORK,4,PICK,ORD0138,54,45,
E000105,87,R02,IDLE,15,IDLE,,35,28,
E000106,87,R09,CHARGE,14,CHARGE,,19,100,
E000107,88,R08,WORK,7,PICK,ORD0620,53,41,
E000108,90,R03,WORK,7,PICK,ORD0518,55,45,
E000109,90,R10,IDLE,4,IDLE,,45,44,
E000110,92,R06,WORK,9,PICK,ORD0284,89,69,
E000111,93,R05,WORK,7,PICK,ORD0166,100,90,
E000112,94,R10,WORK,9,PICK,ORD0575,44,31,
E000113,95,R04,WORK,8,PICK,ORD0597,81,70,
E000114,95,R08,WORK,3,PICK,ORD0316,41,34,
E000115,97,R03,IDLE,4,IDLE,,45,43,
E000116,98,R07,IDLE,7,IDLE,,56,53,
E000117,98,R08,IDLE,14,IDLE,,34,29,
E000118,99,R01,WORK,11,PICK,ORD0417,92,71,
E000119,100,R05,IDLE,7,IDLE,,90,87,
E000120,101,R03,IDLE,16,IDLE,,43,36,
E000121,101,R06,FAULT,9,,,69,67,MECH_FAILURE
E000122,101,R09,IDLE,10,IDLE,,100,98,
E000123,102,R02,WORK,8,PICK,ORD0422,28,15,
E000124,103,R04,IDLE,16,IDLE,,70,67,
E000125,103,R10,FAULT,5,,,31,30,MECH_FAILURE
E000126,105,R07,WORK,5,PICK,ORD0719,53,44,
E000127,107,R05,IDLE,11,IDLE,,87,84,
E000128,108,R10,WORK,10,PICK,ORD0359,30,17,
E000129,110,R01,IDLE,7,IDLE,,71,70,
E000130,110,R02,CHARGE,9,CHARGE,,15,70,
E000131,110,R06,WORK,6,PICK,ORD0409,67,59,
E000132,110,R07,IDLE,16,IDLE,,44,36,
E000133,111,R09,WORK,11,PICK,ORD0410,98,78,
E000134,112,R08,IDLE,9,IDLE,,29,26,
E000135,116,R06,IDLE,5,IDLE,,59,57,
E000136,117,R01,IDLE,8,IDLE,,70,69,
E000137,117,R03,WORK,7,PICK,ORD0040,36,20,
E000138,118,R05,WORK,8,PICK,ORD0447,84,70,
E000139,118,R10,CHARGE,14,CHARGE,,17,100,
E000140,119,R02,WORK,12,PICK,ORD0195,70,56,
E000141,119,R04,IDLE,4,IDLE,,67,66,
E000142,121,R06,WORK,11,PICK,ORD0704,57,38,
E000143,121,R08,IDLE,14,IDLE,,26,19,
E000144,122,R09,WORK,9,PICK,ORD0072,78,61,
E000145,123,R04,IDLE,13,IDLE,,66,62,
E000146,124,R03,CHARGE,11,CHARGE,,20,72,
E000147,125,R01,WORK,4,PICK,ORD0738,69,63,
E000148,126,R05,WORK,9,PICK,ORD0335,70,54,
E000149,126,R07,WORK,5,PICK,ORD0197,36,28,
E000150,129,R01,IDLE,14,IDLE,,63,61,
E000151,131,R02,IDLE,6,IDLE,,56,53,
E000152,131,R07,IDLE,8,IDLE,,28,24,
E000153,131,R09,WORK,3,PICK,ORD0312,61,57,
E000154,132,R06,WORK,12,PICK,ORD0622,38,16,
E000155,132,R10,WORK,10,PICK,ORD0692,100,88,
E000156,134,R09,WORK,5,PICK,ORD0675,57,47,
E000157,135,R03,WORK,12,PICK,ORD0344,72,54,
E000158,135,R05,IDLE,7,IDLE,,54,51,
E000159,135,R08,CHARGE,16,CHARGE,,19,100,
E000160,136,R04,WORK,6,PICK,ORD0151,62,49,
E000161,137,R02,WORK,4,PICK,ORD0467,53,44,
E000162,139,R07,IDLE,7,IDLE,,24,22,
E000163,139,R09,IDLE,10,IDLE,,47,45,
E000164,141,R02,WORK,6,PICK,ORD0152,44,33,
E000165,142,R04,FAULT,7,,,49,48,BATTERY_LOW
E000166,142,R05,WORK,4,PICK,ORD0798,51,45,
E000167,142,R10,WORK,11,PICK,ORD0476,88,64,
E000168,143,R01,WORK,4,PICK,ORD0468,61,52,
E000169,144,R06,CHARGE,13,CHARGE,,16,80,
E000170,146,R05,IDLE,12,IDLE,,45,39,
E000171,146,R07,IDLE,16,IDLE,,22,18,
E000172,147,R01,IDLE,13,IDLE,,52,47,
E000173,147,R02,IDLE,12,IDLE,,33,30,
E000174,147,R03,WORK,11,PICK,ORD0457,54,29,
E000175,149,R04,IDLE,11,IDLE,,48,46,
E000176,149,R09,WORK,6,PICK,ORD0653,45,38,
E000177,151,R08,IDLE,11,IDLE,,100,96,
E000178,153,R10,IDLE,8,IDLE,,64,60,
E000179,155,R09,IDLE,15,IDLE,,38,30,
E000180,157,R06,WORK,7,PICK,ORD0344,80,65,
E000181,158,R03,IDLE,6,IDLE,,29,26,
E000182,158,R05,WORK,9,PICK,ORD0711,39,19,
E000183,159,R02,WORK,9,PICK,ORD0418,30,14,
E000184,160,R01,WORK,3,PICK,ORD0212,47,42,
E000185,160,R04,WORK,12,PICK,ORD0713,46,21,
E000186,161,R10,WORK,8,PICK,ORD0306,60,47,
E000187,162,R07,CHARGE,19,CHARGE,,18,93,
E000188,162,R08,IDLE,10,IDLE,,96,92,
E000189,163,R01,WORK,11,PICK,ORD0618,42,26,
E000190,164,R03,WORK,7,PICK,ORD0447,26,10,
E000191,164,R06,WORK,9,PICK,ORD0742,65,52,
E000192,167,R05,CHARGE,13,CHARGE,,19,72,
E000193,168,R02,CHARGE,20,CHARGE,,14,100,
E000194,169,R10,WORK,12,PICK,ORD0547,47,31,
E000195,170,R09,WORK,9,PICK,ORD0139,30,13,
E000196,171,R03,CHARGE,8,CHARGE,,10,69,
E000197,172,R04,FAULT,13,,,21,17,BATTERY_LOW
E000198,172,R08,WORK,9,PICK,ORD0336,92,80,
E000199,173,R06,WORK,9,PICK,ORD0285,52,38,
E000200,174,R01,IDLE,8,IDLE,,26,22,
E000201,179,R03,IDLE,11,IDLE,,69,63,
E000202,179,R09,CHARGE,6,CHARGE,,13,48,
E000203,180,R05,IDLE,4,IDLE,,72,71,
E000204,181,R07,IDLE,9,IDLE,,93,92,
E000205,181,R08,WORK,4,PICK,ORD0800,80,74,
E000206,181,R10,FAULT,10,,,31,29,NAV_ERROR
E000207,182,R01,WORK,3,PICK,ORD0254,22,18,
E000208,182,R06,WORK,5,PICK,ORD0245,38,28,
E000209,184,R05,IDLE,13,IDLE,,71,68,
E000210,185,R01,CHARGE,9,CHARGE,,18,70,
E000211,185,R04,CHARGE,13,CHARGE,,17,100,
E000212,185,R08,IDLE,16,IDLE,,74,68,
E000213,185,R09,WORK,12,PICK,ORD0622,48,32,
E000214,187,R06,IDLE,16,IDLE,,28,20,
E000215,188,R02,IDLE,8,IDLE,,100,97,
E000216,190,R03,WORK,3,PICK,ORD0320,63,57,
E000217,190,R07,IDLE,10,IDLE,,92,90,
E000218,191,R10,IDLE,15,IDLE,,29,26,
E000219,193,R03,WORK,12,PICK,ORD0708,57,29,
E000220,194,R01,WORK,7,PICK,ORD0701,70,59,
E000221,196,R02,WORK,12,PICK,ORD0043,97,79,
E000222,197,R05,WORK,8,PICK,ORD0071,68,54,
E000223,197,R09,IDLE,10,IDLE,,32,28,
E000224,198,R04,IDLE,5,IDLE,,100,97,
E000225,200,R07,WORK,8,PICK,ORD0651,90,78,
E000226,201,R01,WORK,5,PICK,ORD0446,59,47,
E000227,201,R08,WORK,7,PICK,ORD0631,68,60,
E000228,203,R04,WORK,10,PICK,ORD0477,97,79,
E000229,203,R06,CHARGE,17,CHARGE,,20,100,
E000230,205,R03,IDLE,9,IDLE,,29,27,
E000231,205,R05,IDLE,5,IDLE,,54,53,
E000232,206,R01,WORK,10,PICK,ORD0250,47,31,
E000233,206,R10,IDLE,14,IDLE,,26,18,
E000234,207,R09,IDLE,4,IDLE,,28,26,
E000235,208,R02,WORK,8,PICK,ORD0187,79,60,
E000236,208,R07,WORK,7,PICK,ORD0349,78,63,
E000237,208,R08,WORK,7,PICK,ORD0570,60,48,
E000238,210,R05,WORK,9,PICK,ORD0501,53,43,
E000239,211,R09,WORK,10,PICK,ORD0662,26,14,
E000240,213,R04,WORK,3,PICK,ORD0096,79,72,
E000241,214,R03,IDLE,7,IDLE,,27,24,
E000242,215,R07,WORK,12,PICK,ORD0378,63,46,
E000243,215,R08,FAULT,7,,,48,46,NAV_ERROR
E000244,216,R01,IDLE,10,IDLE,,31,27,
E000245,216,R02,IDLE,12,IDLE,,60,55,
E000246,216,R04,WORK,10,PICK,ORD0278,72,50,
E000247,219,R05,WORK,6,PICK,ORD0324,43,32,
E000248,220,R06,IDLE,16,IDLE,,100,95,
E000249,220,R10,CHARGE,17,CHARGE,,18,100,
E000250,221,R03,WORK,6,PICK,ORD0757,24,14,
E000251,221,R09,CHARGE,17,CHARGE,,14,100,
E000252,222,R08,IDLE,16,IDLE,,46,38,
E000253,225,R05,IDLE,8,IDLE,,32,29,
E000254,226,R01,IDLE,7,IDLE,,27,25,
E000255,226,R04,WORK,8,PICK,ORD0184,50,39,
E000256,227,R03,CHARGE,17,CHARGE,,14,100,
E000257,227,R07,WORK,7,PICK,ORD0047,46,31,
E000258,228,R02,WORK,5,PICK,ORD0654,55,49,
E000259,233,R01,WORK,3,PICK,ORD0588,25,21,
E000260,233,R02,WORK,8,PICK,ORD0189,49,34,
E000261,233,R05,WORK,10,PICK,ORD0117,29,16,
E000262,234,R04,WORK,4,PICK,ORD0591,39,30,
E000263,234,R07,WORK,5,PICK,ORD0577,31,23,
E000264,236,R01,WORK,6,PICK,ORD0122,21,13,
E000265,236,R06,WORK,12,PICK,ORD0634,95,67,
E000266,237,R10,WORK,10,PICK,ORD0454,100,87,
E000267,238,R04,WORK,9,PICK,ORD0313,30,17,
E000268,238,R08,WORK,4,PICK,ORD0782,38,33,
E000269,238,R09,WORK,4,PICK,ORD0161,100,95,
E000270,239,R07,WORK,5,PICK,ORD0003,23,17,
E000271,241,R02,IDLE,11,IDLE,,34,32,
E000272,242,R01,CHARGE,10,CHARGE,,13,56,
E000273,242,R08,WORK,7,PICK,ORD0724,33,25,
E000274,242,R09,IDLE,5,IDLE,,95,93,
E000275,243,R05,CHARGE,16,CHARGE,,16,100,
E000276,244,R03,WORK,7,PICK,ORD0641,100,89,
E000277,244,R07,CHARGE,18,CHARGE,,17,100,
E000278,247,R04,CHARGE,20,CHARGE,,17,100,
E000279,247,R09,WORK,4,PICK,ORD0558,93,84,
E000280,247,R10,WORK,7,PICK,ORD0146,87,72,
E000281,248,R06,WORK,7,PICK,ORD0610,67,59,
E000282,249,R08,IDLE,8,IDLE,,25,23,
E000283,251,R03,WORK,10,PICK,ORD0706,89,75,
E000284,251,R09,WORK,7,PICK,ORD0513,84,74,
E000285,252,R01,WORK,12,PICK,ORD0041,56,34,
E000286,252,R02,IDLE,13,IDLE,,32,28,
E000287,254,R10,WORK,4,PICK,ORD0235,72,67,
E000288,255,R06,IDLE,13,IDLE,,59,55,
E000289,257,R08,IDLE,4,IDLE,,23,22,
E000290,258,R09,IDLE,14,IDLE,,74,71,
E000291,258,R10,IDLE,13,IDLE,,67,61,
E000292,259,R05,WORK,5,PICK,ORD0482,100,94,
E000293,261,R03,WORK,7,PICK,ORD0186,75,59,
E000294,261,R08,WORK,10,PICK,ORD0094,22,10,
E000295,262,R07,WORK,8,PICK,ORD0687,100,82,
E000296,264,R01,WORK,9,PICK,ORD0711,34,14,
E000297,264,R05,WORK,9,PICK,ORD0779,94,73,
E000298,265,R02,IDLE,9,IDLE,,28,24,
E000299,267,R04,WORK,4,PICK,ORD0792,100,92,
E000300,268,R03,WORK,3,PICK,ORD0674,59,53,
E000301,268,R06,WORK,3,PICK,ORD0193,55,49,
E000302,270,R07,IDLE,11,IDLE,,82,80,
E000303,271,R03,IDLE,16,IDLE,,53,47,
E000304,271,R04,WORK,7,PICK,ORD0563,92,80,
E000305,271,R06,WORK,10,PICK,ORD0125,49,27,
E000306,271,R08,CHARGE,17,CHARGE,,10,99,
E000307,271,R10,WORK,11,PICK,ORD0015,61,40,
E000308,272,R09,WORK,4,PICK,ORD0473,71,65,
E000309,273,R01,CHARGE,16,CHARGE,,14,80,
E000310,273,R05,IDLE,11,IDLE,,73,69,
E000311,274,R02,IDLE,8,IDLE,,24,21,
E000312,276,R09,WORK,7,PICK,ORD0426,65,55,
E000313,278,R04,IDLE,7,IDLE,,80,78,
E000314,281,R06,FAULT,14,,,27,24,MECH_FAILURE
E000315,281,R07,WORK,5,PICK,ORD0393,80,72,
E000316,282,R02,IDLE,15,IDLE,,21,17,
E000317,282,R10,IDLE,5,IDLE,,40,38,
E000318,283,R09,WORK,9,PICK,ORD0349,55,37,
E000319,284,R05,WORK,3,PICK,ORD0290,69,65,
E000320,285,R04,IDLE,13,IDLE,,78,71,
E000321,286,R07,IDLE,11,IDLE,,72,66,
E000322,287,R03,IDLE,11,IDLE,,47,43,
E000323,287,R05,WORK,8,PICK,ORD0341,65,53,
E000324,287,R10,IDLE,11,IDLE,,38,34,
E000325,288,R08,IDLE,7,IDLE,,99,96,
E000326,289,R01,IDLE,7,IDLE,,80,77,
E000327,292,R09,IDLE,7,IDLE,,37,34,
E000328,295,R05,IDLE,10,IDLE,,53,49,
E000329,295,R06,WORK,10,PICK,ORD0723,24,5,
E000330,295,R08,WORK,5,PICK,ORD0508,96,89,
E000331,296,R01,WORK,12,PICK,ORD0340,77,52,
E000332,297,R02,CHARGE,19,CHARGE,,17,100,
E000333,297,R07,IDLE,5,IDLE,,66,64,
E000334,298,R03,WORK,10,PICK,ORD0016,43,21,
E000335,298,R04,WORK,5,PICK,ORD0077,71,65,
E000336,298,R10,IDLE,9,IDLE,,34,30,
E000337,299,R09,IDLE,10,IDLE,,34,32,
E000338,300,R08,IDLE,9,IDLE,,89,85,
E000339,302,R07,IDLE,12,IDLE,,64,62,
E000340,303,R04,WORK,8,PICK,ORD0642,65,46,
E000341,305,R05,IDLE,12,IDLE,,49,47,
E000342,305,R06,CHARGE,6,CHARGE,,5,52,
E000343,307,R10,IDLE,7,IDLE,,30,27,
E000344,308,R01,IDLE,8,IDLE,,52,49,
E000345,308,R03,IDLE,15,IDLE,,21,14,
E000346,309,R08,WORK,4,PICK,ORD0779,85,76,
E000347,309,R09,IDLE,11,IDLE,,32,26,
E000348,311,R04,WORK,7,PICK,ORD0030,46,36,
E000349,311,R06,IDLE,8,IDLE,,52,49,
E000350,313,R08,WORK,9,PICK,ORD0150,76,65,
E000351,314,R07,WORK,5,PICK,ORD0175,62,52,
E000352,314,R10,IDLE,10,IDLE,,27,25,
E000353,316,R01,IDLE,7,IDLE,,49,46,
E000354,316,R02,WORK,12,PICK,ORD0147,100,78,
E000355,317,R05,IDLE,11,IDLE,,47,43,
E000356,318,R04,WORK,3,PICK,ORD0477,36,31,
E000357,319,R06,IDLE,6,IDLE,,49,46,
E000358,319,R07,WORK,8,PICK,ORD0602,52,35,
E000359,320,R09,IDLE,15,IDLE,,26,21,
E000360,321,R04,WORK,7,PICK,ORD0204,31,18,
E000361,322,R08,IDLE,5,IDLE,,65,62,
E000362,323,R01,WORK,12,PICK,ORD0368,46,31,
E000363,323,R03,CHARGE,17,CHARGE,,14,82,
E000364,324,R10,WORK,9,PICK,ORD0282,25,14,
E000365,325,R06,IDLE,15,IDLE,,46,41,
E000366,327,R07,IDLE,8,IDLE,,35,31,
E000367,327,R08,IDLE,7,IDLE,,62,59,
E000368,328,R02,WORK,8,PICK,ORD0225,78,66,
E000369,328,R04,CHARGE,15,CHARGE,,18,100,
E000370,328,R05,WORK,5,PICK,ORD0644,43,33,
E000371,333,R05,IDLE,4,IDLE,,33,32,
E000372,333,R10,FAULT,14,,,14,10,NAV_ERROR
E000373,334,R08,WORK,10,PICK,ORD0035,59,43,
E000374,335,R01,IDLE,5,IDLE,,31,30,
E000375,335,R07,IDLE,9,IDLE,,31,29,
E000376,335,R09,IDLE,6,IDLE,,21,20,
E000377,336,R02,WORK,11,PICK,ORD0375,66,41,
E000378,337,R05,IDLE,6,IDLE,,32,30,
E000379,340,R01,WORK,10,PICK,ORD0303,30,14,
E000380,340,R03,WORK,4,PICK,ORD0480,82,74,
E000381,340,R06,WORK,6,PICK,ORD0693,41,30,
E000382,341,R09,CHARGE,12,CHARGE,,20,100,
E000383,343,R04,IDLE,16,IDLE,,100,93,
E000384,343,R05,IDLE,5,IDLE,,30,28,
E000385,344,R03,IDLE,4,IDLE,,74,73,
E000386,344,R07,WORK,4,PICK,ORD0466,29,19,
E000387,344,R08,IDLE,8,IDLE,,43,40,
E000388,346,R06,IDLE,14,IDLE,,30,23,
E000389,347,R02,IDLE,5,IDLE,,41,40,
E000390,347,R10,CHARGE,16,CHARGE,,10,100,
E000391,348,R03,WORK,3,PICK,ORD0635,73,67,
E000392,348,R05,IDLE,13,IDLE,,28,25,
E000393,348,R07,CHARGE,9,CHARGE,,19,74,
E000394,350,R01,CHARGE,16,CHARGE,,14,100,
E000395,351,R03,WORK,10,PICK,ORD0718,67,56,
E000396,352,R02,WORK,5,PICK,ORD0047,40,32,
E000397,352,R08,WORK,10,PICK,ORD0119,40,18,
E000398,353,R09,IDLE,6,IDLE,,100,98,
E000399,357,R02,IDLE,9,IDLE,,32,29,
E000400,357,R07,IDLE,15,IDLE,,74,69,
E000401,359,R04,IDLE,12,IDLE,,93,90,
E000402,359,R09,WORK,5,PICK,ORD0425,98,87,
E000403,360,R06,IDLE,13,IDLE,,23,17,
E000404,361,R03,WORK,7,PICK,ORD0034,56,47,
E000405,361,R05,WORK,10,PICK,ORD0242,25,1,
E000406,362,R08,CHARGE,7,CHARGE,,18,70,
E000407,363,R10,IDLE,9,IDLE,,100,98,
E000408,364,R09,WORK,8,PICK,ORD0063,87,69,
E000409,366,R01,WORK,4,PICK,ORD0466,100,95,
E000410,366,R02,WORK,12,PICK,ORD0022,29,0,
E000411,368,R03,IDLE,16,IDLE,,47,40,
E000412,369,R08,WORK,4,PICK,ORD0784,70,65,
E000413,370,R01,WORK,6,PICK,ORD0337,95,81,
E000414,371,R04,IDLE,13,IDLE,,90,88,
E000415,371,R05,CHARGE,6,CHARGE,,1,29,
E000416,372,R07,WORK,5,PICK,ORD0134,69,63,
E000417,372,R09,IDLE,5,IDLE,,69,67,
E000418,372,R10,WORK,3,PICK,ORD0135,98,94,
E000419,373,R06,CHARGE,6,CHARGE,,17,56,
E000420,373,R08,WORK,3,PICK,ORD0130,65,62,
E000421,375,R10,FAULT,7,,,94,91,SENSOR_ISSUE
E000422,376,R01,WORK,4,PICK,ORD0488,81,77,
E000423,376,R08,WORK,12,PICK,ORD0112,62,48,
E000424,377,R05,WORK,12,PICK,ORD0045,29,6,
E000425,377,R07,IDLE,14,IDLE,,63,56,
E000426,377,R09,WORK,10,PICK,ORD0659,67,53,
E000427,378,R02,FAULT,9,,,0,0,MECH_FAILURE
E000428,379,R06,WORK,10,PICK,ORD0412,56,34,
E000429,380,R01,WORK,10,PICK,ORD0076,77,65,
E000430,382,R10,WORK,5,PICK,ORD0068,91,80,
E000431,384,R03,IDLE,13,IDLE,,40,33,
E000432,384,R04,IDLE,9,IDLE,,88,84,
E000433,387,R02,CHARGE,12,CHARGE,,0,80,
E000434,387,R09,IDLE,12,IDLE,,53,47,
E000435,387,R10,WORK,11,PICK,ORD0620,80,67,
E000436,388,R08,IDLE,5,IDLE,,48,47,
E000437,389,R05,CHARGE,19,CHARGE,,6,83,
E000438,389,R06,IDLE,16,IDLE,,34,28,
E000439,390,R01,IDLE,7,IDLE,,65,62,
E000440,391,R07,WORK,6,PICK,ORD0424,56,44,
E000441,393,R04,WORK,9,PICK,ORD0748,84,64,
E000442,393,R08,WORK,7,PICK,ORD0384,47,38,
E000443,397,R01,IDLE,11,IDLE,,62,57,
E000444,397,R03,WORK,4,PICK,ORD0096,33,28,
E000445,397,R07,IDLE,9,IDLE,,44,42,
E000446,398,R10,IDLE,12,IDLE,,67,62,
E000447,399,R02,WORK,11,PICK,ORD0576,80,54,
E000448,399,R09,WORK,8,PICK,ORD0682,47,32,
E000449,400,R08,IDLE,15,IDLE,,38,35,
E000450,401,R03,WORK,7,PICK,ORD0615,28,15,
E000451,402,R04,WORK,11,PICK,ORD0218,64,51,
E000452,405,R06,IDLE,5,IDLE,,28,25,
E000453,406,R07,WORK,11,PICK,ORD0377,42,20,
E000454,407,R09,WORK,6,PICK,ORD0440,32,24,
E000455,408,R01,IDLE,13,IDLE,,57,55,
E000456,408,R03,CHARGE,15,CHARGE,,15,80,
E000457,408,R05,IDLE,12,IDLE,,83,76,
E000458,410,R02,WORK,7,PICK,ORD0030,54,42,
E000459,410,R06,IDLE,8,IDLE,,25,21,
E000460,410,R10,IDLE,9,IDLE,,62,58,
E000461,413,R04,WORK,5,PICK,ORD0580,51,42,
E000462,413,R09,WORK,3,PICK,ORD0094,24,20,
E000463,415,R08,WORK,9,PICK,ORD0465,35,14,
E000464,416,R09,CHARGE,11,CHARGE,,20,73,
E000465,417,R02,WORK,8,PICK,ORD0796,42,27,
E000466,417,R07,CHARGE,15,CHARGE,,20,100,
E000467,418,R04,WORK,3,PICK,ORD0160,42,36,
E000468,418,R06,IDLE,14,IDLE,,21,14,
E000469,419,R10,WORK,10,PICK,ORD0678,58,45,
E000470,420,R05,WORK,9,PICK,ORD0280,76,60,
E000471,421,R01,WORK,8,PICK,ORD0441,55,42,
E000472,421,R04,IDLE,13,IDLE,,36,32,
E000473,423,R03,WORK,7,PICK,ORD0047,80,71,
E000474,424,R08,CHARGE,15,CHARGE,,14,76,
E000475,425,R02,WORK,6,PICK,ORD0309,27,18,
E000476,427,R09,IDLE,16,IDLE,,73,69,
E000477,429,R01,WORK,8,PICK,ORD0123,42,29,
E000478,429,R05,WORK,11,PICK,ORD0721,60,39,
E000479,429,R10,WORK,8,PICK,ORD0074,45,32,
E000480,430,R03,IDLE,10,IDLE,,71,68,
E000481,431,R02,CHARGE,6,CHARGE,,18,45,
